,mean,MCSE,q10,q50,q90,ESS,Rhat
"loglike[1,236]",2.694748655,0.068166186,2.57112585,2.69111043,2.835007848,11746.59974,1.000029684
"loglike[1,237]",2.277533545,0.043387148,2.193257206,2.276968505,2.364533948,19396.89146,1.000193248
"loglike[1,238]",2.691773098,0.067872594,2.568676936,2.688206485,2.831179012,11751.65905,1.000028223
"loglike[1,239]",2.519729567,0.052055744,2.423897167,2.517667845,2.627154837,12861.86002,0.999999068
"loglike[1,240]",2.721015591,0.067795088,2.597930917,2.718321219,2.858794936,12214.62822,1.00014608
"loglike[1,241]",-0.05497229,0.345368149,-0.834832134,-0.013636971,0.494586788,12765.40162,1.000164782
"loglike[1,242]",2.685891652,0.063005778,2.570468117,2.683905161,2.812546051,12584.07695,1.000182528
"loglike[1,243]",1.836794777,0.080443983,1.653296464,1.846470979,1.967784174,16800.49767,1.000315534
"loglike[1,244]",2.26707856,0.043578751,2.181573656,2.266608816,2.353682913,19710.54081,1.000205229
"loglike[1,245]",2.747528554,0.072793195,2.616471216,2.744225974,2.897646654,11792.75383,1.000078824
"loglike[1,246]",2.019769403,0.059940271,1.886289547,2.025161102,2.122635738,19344.14906,1.000336271
"loglike[1,247]",2.639694637,0.062739049,2.525435073,2.636179762,2.769390881,11906.56492,1.000008774
"loglike[1,248]",2.657183108,0.064451534,2.540012396,2.653515118,2.790189373,11840.61923,1.000014207
"loglike[1,249]",2.738342349,0.070422486,2.611147836,2.735164661,2.882740106,12030.76275,1.000122597
"loglike[1,250]",1.534887892,0.136504344,1.213227821,1.55470894,1.746379253,12410.40966,0.999904566
"loglike[1,251]",2.718252665,0.070448934,2.591169218,2.714586797,2.863865313,11723.59686,1.000043451
"loglike[1,252]",2.235761864,0.044446212,2.147040106,2.235950943,2.32190602,20491.90768,1.000238931
"loglike[1,253]",2.191568134,0.04637829,2.096292904,2.192631501,2.279274807,21091.27368,1.000278532
"loglike[1,254]",2.533540812,0.053151735,2.435375904,2.531461305,2.643289676,12694.27163,0.999997332
"loglike[1,255]",1.761533466,0.089779817,1.556644868,1.772940329,1.906159646,16100.62893,1.000302271
"loglike[1,256]",1.132229445,0.175171821,0.730222796,1.154651114,1.411499747,13701.97034,1.000221762
