"","mean","MCSE","q10","q50","q90","ESS","Rhat"
"loglike[1,85]",2.40704579116825,0.0562269825378418,2.28662782353378,2.41049428409791,2.50679343447565,14711.8620409746,1.00065178783064
"loglike[1,86]",2.18256105492023,0.0504836509475319,2.07868574231943,2.1842123765686,2.27701386273884,23181.3690757557,1.00022110348998
"loglike[1,87]",2.50187155511408,0.0660784180295595,2.35995353015859,2.50711677120173,2.61923898201259,11899.3339562262,1.00057560654894
"loglike[1,88]",2.46055046107132,0.0604897071781369,2.33002667045991,2.46494335082648,2.56819313441475,13311.2913214486,1.00066961317207
"loglike[1,89]",2.37457305935944,0.0541941498435883,2.25935894705466,2.37757530691581,2.47129370656987,15725.283001934,1.00061901845524
"loglike[1,90]",0.876699543526814,0.189449245589766,0.491323608235888,0.879260300273602,1.23920833885692,13469.4314553774,1.00020015495057
"loglike[1,91]",2.36496780493649,0.0607598380782176,2.23429705089169,2.36905329977861,2.47416927722772,12131.8391995401,1.00023640579493
"loglike[1,92]",2.4196121738931,0.0631195290744303,2.28315673178946,2.42424971644611,2.53217827017781,11761.678570862,1.00034646057179
"loglike[1,93]",2.49854612793084,0.0646964097440529,2.35954889067489,2.50326144603796,2.61354611827648,12308.7781548986,1.00063003182537
"loglike[1,94]",2.49400978018926,0.0640462452813626,2.35670180284818,2.49855308948148,2.60746495476055,12467.3732672307,1.00064185448201
"loglike[1,95]",2.06361735414525,0.055117545068053,1.95183230585617,2.06554887940637,2.16782405850356,23758.7197679198,1.00000691721049
"loglike[1,96]",2.30669678287882,0.0586866494218436,2.18116514769011,2.31053389092858,2.41191228289741,12795.2008976283,1.00012852418937
"loglike[1,97]",2.32547452560181,0.0518741862761802,2.215677876072,2.32799332073183,2.41875908721039,17534.3367532272,1.00054313212465
"loglike[1,98]",2.38342386548964,0.0547090180253187,2.26680711491213,2.38661667591425,2.48084447914202,15434.7487772537,1.00062941672809
"loglike[1,99]",2.50002954221527,0.0649447299506862,2.36039490844798,2.50470612313328,2.61549488156361,12246.4944153439,1.00062438878908
"loglike[1,100]",2.49928641424345,0.0648167743972208,2.35984251912019,2.5039506545942,2.61430645193371,12278.7750759089,1.00062739368766
"loglike[1,101]",2.49740154283568,0.0645205433586387,2.35912765220737,2.5019550972577,2.61199318609918,12352.1337036203,1.00063360046425
"loglike[1,102]",2.48282771471673,0.0658738704888722,2.34126041123065,2.48790341172436,2.59896796698865,11675.8721147506,1.00049603598467
"loglike[1,103]",2.36684447713768,0.0537685481971773,2.25249448675331,2.36981727352639,2.46301530018771,15988.0104881163,1.0006090762986
"loglike[1,104]",2.46610698815082,0.0610106176951791,2.33498150479732,2.47049188724729,2.5747101976777,13178.1825463047,1.00066818044593
"loglike[1,105]",1.84337506075935,0.0683841055367725,1.70330608902871,1.84528947555165,1.9710816149561,23927.4889869708,1.00004323271728
"loglike[1,106]",2.35993400935448,0.0605597323858559,2.22969386366458,2.36402021705914,2.46885356273875,12177.8132947874,1.00022668512074
"loglike[1,107]",2.3826752842511,0.0614902861705472,2.25047010024118,2.38699724143481,2.49290826660461,11986.2084296789,1.00027113535866
"loglike[1,108]",2.14100057977461,0.0565597455081922,2.02217594668956,2.14341693405562,2.24488078700864,16212.9824474198,0.999919526157631
"loglike[1,109]",2.40936897834364,0.0626567303583655,2.27419516428381,2.41388120850293,2.52131326533036,11813.182867982,1.00032512921104
"loglike[1,110]",2.42450807858248,0.0633426044566461,2.2874648139641,2.42917881464887,2.53728052583857,11740.0624682997,1.00035680368233
"loglike[1,111]",2.50139129895374,0.0652089819800933,2.36090009711286,2.50618031411503,2.61723925507718,12178.0818525086,1.00061738720835
"loglike[1,112]",2.50238500314836,0.06601798014901,2.36056249476148,2.50759056187776,2.61960109648321,11926.7762597785,1.00058109184358
"loglike[1,113]",2.48623492009348,0.0630960787081826,2.35062686445369,2.49065317377316,2.59816338015823,12689.8935963217,1.00065408752163
"loglike[1,114]",2.47774149774226,0.0656894316722979,2.33632797163326,2.48270448764949,2.59360039248694,11660.3940492792,1.00048149049444
"loglike[1,115]",2.21591264415268,0.0567504758135028,2.09502543370527,2.21869565407936,2.31802204307632,14373.7233703563,0.999990273718698
"loglike[1,116]",2.50181491330799,0.0653049304839498,2.36110963306204,2.50665749868776,2.6178119974195,12152.4468410749,1.00061451702361
"loglike[1,117]",2.46150717419953,0.0650190773904852,2.32109252718491,2.46613525815404,2.5768157247233,11647.5408713382,1.00043979418934
"loglike[1,118]",2.50096904212125,0.0651213939633752,2.36072239349408,2.50571691095815,2.61679754852221,12201.0716871527,1.00061984237253
"loglike[1,119]",2.50294706545905,0.0658632511893758,2.3614527155852,2.5079156432217,2.61976327172086,11985.6696292786,1.00059157699619
"loglike[1,120]",2.41091508341255,0.056495750693976,2.28981240222915,2.41435075114045,2.51100800142283,14600.405489056,1.00065467680608
"loglike[1,121]",2.25743255087497,0.0574187014290414,2.13458710875264,2.26072666200047,2.36042628222378,13574.7320437489,1.00004770987478
"loglike[1,122]",2.50248280929638,0.0660021562980215,2.36071677427897,2.50767526753487,2.61966541264244,11933.4052780599,1.00058235475735
"loglike[1,123]",2.47406217096165,0.0617918590641728,2.34134605844354,2.47845042382726,2.58401896836884,12988.1035713366,1.00066456605309
"loglike[1,124]",2.32211466480507,0.0591798041795285,2.19483099727384,2.32615682131484,2.42838454390766,12590.8408231009,1.00015598938064
"loglike[1,125]",2.47850649506977,0.0657182900901114,2.33691528192851,2.48346970373917,2.59443899229801,11662.2745133103,1.00048361658763
"loglike[1,126]",2.45926521121886,0.0649207866937218,2.31927622175049,2.4638095926462,2.57476297421387,11648.9886539153,1.00043440686936
"loglike[1,127]",2.50289912210136,0.0658905818050458,2.36128984252197,2.50789875118586,2.61979678503288,11976.0336345404,1.00058996749778
"loglike[1,128]",2.32279636266817,0.0517741137575309,2.2131196211472,2.32527927977875,2.41600695930147,17641.9845435457,1.00053818246197
"loglike[1,129]",2.47681872442267,0.0656541711464795,2.33539108824663,2.48177712261438,2.59256051588561,11658.3139703063,1.00047895119797
"loglike[1,130]",2.44360400149098,0.0642162957171058,2.30485394969345,2.44828610573039,2.55768736330522,11675.437793548,1.00039832150193
"loglike[1,131]",2.48612103945073,0.0630830470219855,2.35056467069907,2.49056099215012,2.59805147254478,12692.7894489839,1.00065422425207
"loglike[1,132]",2.46455659933621,0.0651511533416429,2.32387249827698,2.46921771272747,2.58000331636116,11646.6600824123,1.00044723744307
"loglike[1,133]",2.44868298023951,0.0644472163618444,2.30953556213964,2.45328228547789,2.56333284794758,11663.9654441432,1.00040977065446
"loglike[1,134]",2.50086794878758,0.0651013241793265,2.36060096014707,2.50559856604171,2.61656577689918,12206.2912812498,1.0006203848708
"loglike[1,135]",2.49425077035753,0.0640782523473639,2.35680129725247,2.49874945737764,2.60785092944066,12459.6401840235,1.00064135134845
"loglike[1,136]",2.42713947306639,0.0634628423860887,2.28990820586565,2.43186283615653,2.54001683069947,11729.2660087425,1.00036240706745
"loglike[1,137]",2.41397710154452,0.0567125202078836,2.29270503754887,2.41737066564731,2.5146089538539,14513.5148788504,1.00065680264725
"loglike[1,138]",2.23087376601971,0.0569467759127093,2.10973233296936,2.23371983296419,2.33306093910637,14067.3130923434,1.00000965685066
"loglike[1,139]",2.46340381285537,0.065101463121676,2.32276154681485,2.46803009500542,2.57881843725512,11646.8402459566,1.00044440703479
"loglike[1,140]",2.50286759279888,0.0659046252920628,2.36111729886021,2.50789544814662,2.61989294418558,11970.9801820487,1.00058910792477
"loglike[1,141]",2.4823682859837,0.062663812871494,2.34761733658142,2.48669147999017,2.59392238784281,12786.6818635893,1.00065824967245
"loglike[1,142]",2.49198349815396,0.0661382323746814,2.35001265369233,2.49722192897066,2.60884219534883,11728.5276950153,1.00052581775819
"loglike[1,143]",2.44924964003112,0.06447287326873,2.31007459948218,2.45389522477979,2.56398076219652,11662.8486591175,1.0004110614205
"loglike[1,144]",2.49885465152435,0.0647458369976421,2.3596417590479,2.50351773896842,2.61378274574631,12296.4948907815,1.00062896912117
"loglike[1,145]",2.28265395401793,0.0580068258197153,2.15879325179746,2.28630701884234,2.38671879595006,13158.4218346607,1.00008762046851
"loglike[1,146]",2.30290283954257,0.0511180664610502,2.19544674892581,2.30519971425608,2.39555323585234,18464.7798326643,1.00049916750844
"loglike[1,147]",2.31236914223296,0.0514109940820301,2.20399695476545,2.31485384951427,2.40506921704583,18068.5129291112,1.00051820906326
"loglike[1,148]",1.19846627662939,0.148565001097955,0.895182167468034,1.2011469751185,1.48176028065965,14060.6931880161,1.00012989292054
"loglike[1,149]",2.31122780183225,0.0588270975452257,2.18485942058743,2.31512148722388,2.41684787895892,12732.8862184244,1.0001365033237
"loglike[1,150]",2.43859642088801,0.0639874617405938,2.30020643338666,2.44341906985405,2.55228199457123,11689.2108263923,1.0003872227028
